a,mass ratio,eccentricity,impactor,b,collision,bound,swapped,distrupted
wide,equal mass,0,330.0,2.6,0,False,False,True
tight,equal mass,0.2,250.0,2.0,0,True,False,False
wide,10x mass,0,210.0,1.0,0,False,True,False
wide,equal mass,0,140.0,3.0,0,False,True,False
wide,equal mass,0,400.0,4.2,0,False,False,True
wide,equal mass,0,20.0,4.0,0,True,False,False
wide,equal mass,0,200.0,6.6,0,True,False,False
wide,equal mass,0,390.0,5.2,0,False,False,True
very wide,10x mass,0,250.0,2.0,0,False,False,True
tight,equal mass,0,150.0,5.0,0,True,False,False
tight,equal mass,0.4,110.0,5.0,0,True,False,False
wide,equal mass,0,20.0,1.2,0,True,False,False
wide,equal mass,0,260.0,4.0,0,False,True,False
wide,equal mass,0,90.0,2.8,0,False,True,False
wide,equal mass,0,230.0,7.0,0,True,False,False
very wide,equal mass,0.4,150.0,3.0,0,False,True,False
wide,equal mass,0,160.0,7.4,0,True,False,False
wide,equal mass,0,370.0,2.8,0,True,False,False
very wide,10x mass,0,50.0,8.0,0,True,False,False
wide,equal mass,0,320.0,6.6,0,False,False,True
wide,equal mass,0,90.0,7.4,0,True,False,False
wide,equal mass,0,50.0,6.2,0,True,False,False
wide,equal mass,0,150.0,6.0,0,True,False,False
very wide,10x mass,0,110.0,8.0,0,True,False,False
tight,equal mass,0.4,290.0,5.0,1,False,False,True
wide,equal mass,0,160.0,5.6,0,True,False,False
wide,equal mass,0,330.0,2.4,0,True,False,False
wide,equal mass,0,110.0,5.8,0,True,False,False
